,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tweet,Sentiment
10,116,1448201213372248064,1448201213372248064,1634113050000.0,2021-10-13 10:17:30,+0200,,Spotlight of the day ICX Cat #038 - based on La casa de papel 7 $ICX #NFTcollectibles #lacasadepapael #NFT   https://t.co/5Mmy2shDZp,en,"['nftcollectibles', 'lacasadepapael', 'nft']",['icx'],1425017036938358790,1425017036938358790,Pixelation7,Pixelation,3,10,https://twitter.com/Pixelation7/status/1448201213372248064,['https://craft.network/nft/cx82c8c091b41413423579445032281bca5ac14fc0:16711731'],[],0,,False,4,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,Spotlight of the day ICX Cat 038 based on La casa de papel 7 ICX NFTcollectibles lacasadepapael NFT,Neutral
11,119,1448201043087663107,1447925550828433423,1634113009000.0,2021-10-13 10:16:49,+0200,,@lizzyzs87 Just continue on Netflix🙃. What do you think about La Casa de Papel?,en,[],[],1448044429202403328,1448044429202403328,_Janpa,Jan-Paul van der Zouwen,3,10,https://twitter.com/_Janpa/status/1448201043087663107,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'lizzyzs87', 'name': 'Liz 🏳️\u200d🌈', 'id': '1202509501875789824'}]",,,,,Just continue on Netflix What do you think about La Casa de Papel,Neutral
12,131,1448197995976183814,1448195983100334082,1634112283000.0,2021-10-13 10:04:43,+0200,,@theowlette They are the best,en,[],[],1177582438740049920,1177582438740049920,MoneyHeistFans,La Casa de Papel Fans👺,3,10,https://twitter.com/MoneyHeistFans/status/1448197995976183814,[],[],0,,False,1,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'theowlette', 'name': 'The Owlette', 'id': '1243874267839844354'}]",,,,,They are the best,Positive
13,133,1448197851717283844,1448195983100334082,1634112248000.0,2021-10-13 10:04:08,+0200,,@FormidGraphicss @theowlette No other company does it better than them,en,[],[],1177582438740049920,1177582438740049920,MoneyHeistFans,La Casa de Papel Fans👺,3,10,https://twitter.com/MoneyHeistFans/status/1448197851717283844,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'FormidGraphicss', 'name': 'Formidable Graphicss', 'id': '255846550'}, {'screen_name': 'theowlette', 'name': 'The Owlette', 'id': '1243874267839844354'}]",,,,,No other company does it better than them,Positive
14,145,1448193783229681666,1447970321827463168,1634111278000.0,2021-10-13 09:47:58,+0200,,"@kieranlee1970 @PilotTVPod Probably only non-English content. I've seen large advertisement for Suburra in Italy, Casa de Papel in Spain, Undercover in The Netherlands and Dark in Germany.",en,[],[],1438063648149172229,1438063648149172229,LifeEhFindsAWay,Esther,3,09,https://twitter.com/LifeEhFindsAWay/status/1448193783229681666,[],[],0,,False,1,1,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'kieranlee1970', 'name': 'Kieran Lee', 'id': '70344806'}, {'screen_name': 'PilotTVPod', 'name': 'Pilot TV', 'id': '4895645872'}]",,,,,Probably only non English content I ve seen large advertisement for Suburra in Italy Casa de Papel in Spain Undercover in The Netherlands and Dark in Germany,Positive
15,161,1448189370624876545,1448056834493984768,1634110226000.0,2021-10-13 09:30:26,+0200,,@Follow_Follow_ Same applies to Money Heist (Casa del Papel),en,[],[],839490550776627201,839490550776627201,DavidJohnMacLe2,Many were called….,3,09,https://twitter.com/DavidJohnMacLe2/status/1448189370624876545,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'Follow_Follow_', 'name': 'FF', 'id': '40963532'}]",,,,,Follow Same applies to Money Heist Casa del Papel,Neutral
16,167,1448187426053238784,1448180079939526660,1634109763000.0,2021-10-13 09:22:43,+0200,,@MlSGUlD3DGH0STS IT'S LA CASA DE PAPEL 😭😭😭 FJFJHDHDKD netflix did not translate the original title here and i'm not used to saying money heist,en,[],[],1348233580913299457,1348233580913299457,royaIgraham,cassian,3,09,https://twitter.com/royaIgraham/status/1448187426053238784,[],[],0,,False,1,1,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'MlSGUlD3DGH0STS', 'name': 'will', 'id': '1351379829313007617'}]",,,,,IT S LA CASA DE PAPEL FJFJHDHDKD netflix did not translate the original title here and i m not used to saying money heist,Positive
17,170,1448186721867374597,1448186721867374597,1634109595000.0,2021-10-13 09:19:55,+0200,,Is Money Heist a True Story? 5 things we should be Expecting from La Casa de Papel Season 5 - Cinema9ja  https://t.co/3eENLmJVAi,en,[],[],267124185,267124185,henrygee001,Victory is Mine💪💪,3,09,https://twitter.com/henrygee001/status/1448186721867374597,['https://www.cinema9ja.com/is-money-heist-a-true-story-5-things-we-should-be-expecting-from-la-casa-de-papel-season-5/?amp'],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,Is Money Heist a True Story 5 things we should be Expecting from La Casa de Papel Season 5 Cinema9ja,Positive
18,174,1448186090351910917,1448162537237671936,1634109444000.0,2021-10-13 09:17:24,+0200,,@Johannes_Avatar Check out La casa de papel. It's amazing,en,[],[],492175810,492175810,Jenuto0,𝕁𝕖𝕟𝕟𝕪 |,3,09,https://twitter.com/Jenuto0/status/1448186090351910917,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'Johannes_Avatar', 'name': 'Johannes Eckerström 🌱', 'id': '2153036652'}]",,,,,Avatar Check out La casa de papel It s amazing,Positive
19,179,1448185021504925699,1448185021504925699,1634109189000.0,2021-10-13 09:13:09,+0200,,"LA CASA DE PAPEL I think it is necessary to observe the development of this project, it should be successful. This direction has great potential. #LCDP #lacasadepapeltoken",en,"['lcdp', 'lacasadepapeltoken']",[],1101149508375855104,1101149508375855104,pogurxxx,Pogur,3,09,https://twitter.com/pogurxxx/status/1448185021504925699,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,LA CASA DE PAPEL I think it is necessary to observe the development of this project it should be successful This direction has great potential LCDP lacasadepapeltoken,Positive
20,184,1448183826774122497,1447867990465204226,1634108904000.0,2021-10-13 09:08:24,+0200,,@NetflixFR Ailleurs :  Friends  West World Game of Trone  Netflix :  Casa del Papel  Pikies Blinders,en,[],[],1436639038400782340,1436639038400782340,nikyta888,Nikyta888,3,09,https://twitter.com/nikyta888/status/1448183826774122497,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'NetflixFR', 'name': 'Netflix France', 'id': '2341888057'}]",,,,,Ailleurs Friends West World Game of Trone Netflix Casa del Papel Pikies Blinders,Negative
21,192,1448181639599828992,1448040737157824519,1634108383000.0,2021-10-13 08:59:43,+0200,,@hlot5lzn bridgerton  girl from nowhere gambito da rainha/ la casa de papel,en,[],[],1249755042967584769,1249755042967584769,imthewinterrain,marisa. 🩰 is not that blonde,3,08,https://twitter.com/imthewinterrain/status/1448181639599828992,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'hlot5lzn', 'name': 'bia⚡', 'id': '1388252352931635202'}]",,,,,bridgerton girl from nowhere gambito da rainha la casa de papel,Neutral
22,197,1448180079939526660,1448180079939526660,1634108011000.0,2021-10-13 08:53:31,+0200,,la casa de papel was so popular when the first season came out. i remember everyone in my school watching it. i literally mean everyone. i haven't seen the show but i have seen everything😭😭,en,[],[],1348233580913299457,1348233580913299457,royaIgraham,cassian,3,08,https://twitter.com/royaIgraham/status/1448180079939526660,[],[],0,,False,8,2,0,,"['Casa', 'Papel']",,,,,,,[],,,,,la casa de papel was so popular when the first season came out i remember everyone in my school watching it i literally mean everyone i haven t seen the show but i have seen everything,Positive
23,228,1448169127047204869,1448169127047204869,1634105400000.0,2021-10-13 08:10:00,+0200,,La Casa de Papel star 'Berlin' visits Istanbul for book launch campaign #Turkey  https://t.co/urkKl8Z3A8,en,['turkey'],[],1185122746960941057,1185122746960941057,DuvarEnglish,Duvar English,3,08,https://twitter.com/DuvarEnglish/status/1448169127047204869,['https://www.duvarenglish.com/la-casa-de-papel-star-berlin-visits-istanbul-for-book-launch-campaign-video-59174'],[],0,,False,2,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,La Casa de Papel star Berlin visits Istanbul for book launch campaign Turkey,Neutral
24,237,1448167578564800516,1447824676919648262,1634105031000.0,2021-10-13 08:03:51,+0200,,@javad94s @Jokerwise3 @Mahgol84030 @saeidbelmont The walking dead The fear of walking dead La casa de papel See Inside No 9 The dark Fargo,en,[],[],1319731132812959747,1319731132812959747,BchQch,بچه قوچ,3,08,https://twitter.com/BchQch/status/1448167578564800516,[],[],0,,False,1,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'javad94s', 'name': 'تیمور بِیْنابِیْنی', 'id': '1241736419590225926'}, {'screen_name': 'Jokerwise3', 'name': 'Joker_wise', 'id': '1380534982310031364'}, {'screen_name': 'Mahgol84030', 'name': 'Mahgol', 'id': '1402286637330149377'}, {'screen_name': 'saeidbelmont', 'name': 'بِلمونت', 'id': '867667583490764800'}]",,,,,The walking dead The fear of walking dead La casa de papel See Inside No 9 The dark Fargo,Negative
25,246,1448165366790860802,1448165366790860802,1634104503000.0,2021-10-13 07:55:03,+0200,,Poule 1 (les best) :  T.Walking Dead 🇺🇲 Game Of Thrones 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Breaking Bad 🇺🇲 Prison Break 🇺🇲 Casa Del Papel 🇪🇦 Stranger Things 🇺🇲 The Wire 🇺🇲 Vikings 🇨🇦🇮🇪 Squid Game 🇰🇷 Peaky Blinder 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Flash 🇺🇲 Doctor Who 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Grey's Anatomy 🇺🇲 A.Horror Story 🇺🇲 Black Mirror 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Alice In Bordeland 🇯🇵,en,[],[],1118878278423597056,1118878278423597056,Kamita915,Dachrano ⚜️🇨🇵🇨🇩🇨🇬 (N°2),3,07,https://twitter.com/Kamita915/status/1448165366790860802,[],[],0,,False,1,1,0,,"['Casa', 'Papel']",,,,,,,[],,,,,Poule 1 les best T Walking Dead Game Of Thrones Breaking Bad Prison Break Casa Del Papel Stranger Things The Wire Vikings Squid Game Peaky Blinder Flash Doctor Who Grey s Anatomy A Horror Story Black Mirror Alice In Bordeland,Negative
26,263,1448159895866384385,1448159895866384385,1634103199000.0,2021-10-13 07:33:19,+0200,,professor from la casa de papel looks slightly different tbh,en,[],[],1695275660,1695275660,mopisriver,sab,3,07,https://twitter.com/mopisriver/status/1448159895866384385,[],[],0,,False,0,0,0,https://twitter.com/intohoIIand/status/1447562460182024196,"['Casa', 'Papel']",,,,,,,[],,,,,professor from la casa de papel looks slightly different tbh,Neutral
27,302,1448146865715916807,1447921085320765445,1634100092000.0,2021-10-13 06:41:32,+0200,,"@blguta09 @makogold07 @GokweEnergy @tkapini7 Lol, savage. The boys is a good goalie to be honest",en,[],[],718297970731524096,718297970731524096,hotxool,La Casa Di Papel,3,06,https://twitter.com/hotxool/status/1448146865715916807,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'blguta09', 'name': 'Musena.', 'id': '203094925'}, {'screen_name': 'makogold07', 'name': 'Makomborero', 'id': '286553582'}, {'screen_name': 'GokweEnergy', 'name': 'Gokwe Energy', 'id': '833664887087910912'}, {'screen_name': 'tkapini7', 'name': 'tapuwa campos kapini🇿🇼🇿🇼🇿🇼🇿🇼🇿🇼', 'id': '831249702'}]",,,,,Lol savage The boys is a good goalie to be honest,Positive
28,361,1448131437337579524,1448131437337579524,1634096414000.0,2021-10-13 05:40:14,+0200,,I’m finally watching casa de papel haha Arturo got put down by his bm 🤣,en,[],[],949376719483490310,949376719483490310,bankrollyuri,BIGYURI,3,05,https://twitter.com/bankrollyuri/status/1448131437337579524,[],[],0,,False,2,1,0,,"['Casa', 'Papel']",,,,,,,[],,,,,I m finally watching casa de papel haha Arturo got put down by his bm,Positive
29,402,1448124697850286080,1448124697850286080,1634094807000.0,2021-10-13 05:13:27,+0200,,I just finished casa de papel. Tokio dies. Im a mess. 🥺😞☹️,en,[],[],378598586,378598586,pincheMONICA,La Consentida 😈,3,05,https://twitter.com/pincheMONICA/status/1448124697850286080,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,I just finished casa de papel Tokio dies Im a mess,Negative
30,406,1448123950307893250,1448123950307893250,1634094629000.0,2021-10-13 05:10:29,+0200,,the fact that he’s been cast as berlin in the korean remake of la casa de papel is just too perfect,en,[],[],2333061314,2333061314,naticald,nati,3,05,https://twitter.com/naticald/status/1448123950307893250,[],[],0,,False,17,0,2,https://twitter.com/xiaokats/status/1445811891532701699,"['Casa', 'Papel']",,,,,,,[],,,,,the fact that he s been cast as berlin in the korean remake of la casa de papel is just too perfect,Positive
31,415,1448123392050278406,1448122344887799810,1634094496000.0,2021-10-13 05:08:16,+0200,,"Yes, I watched la casa de papel in English, don’t give two shits that it sounds better in Spanish. I AM NOT READING SUBTITLES.",en,[],[],1612336333,1612336333,Oma_r_K,Omar,3,05,https://twitter.com/Oma_r_K/status/1448123392050278406,[],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,Yes I watched la casa de papel in English don t give two shits that it sounds better in Spanish I AM NOT READING SUBTITLES,Positive
32,421,1448122517730865153,1448122517730865153,1634094287000.0,2021-10-13 05:04:47,+0200,,"On my block just broke my heart like casa de papel, i hate it here.",en,[],[],193732241,193732241,juliieee_x3,julie,3,05,https://twitter.com/juliieee_x3/status/1448122517730865153,[],[],0,,False,1,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,On my block just broke my heart like casa de papel i hate it here,Negative
33,442,1448119934656122881,1448119934656122881,1634093671000.0,2021-10-13 04:54:31,+0200,,I've just watched episode S05 | E05 of La casa de papel!  https://t.co/SOjjQ0ALr3 #tvtime  https://t.co/hutLGWDnGh,en,['tvtime'],[],76499250,76499250,Laurentino7,(Bad) Decision Maker CRF,3,04,https://twitter.com/Laurentino7/status/1448119934656122881,['https://tvtime.com/r/1ZveR'],['https://pbs.twimg.com/media/FBjBaAAXoAAMIBT.jpg'],1,https://pbs.twimg.com/media/FBjBaAAXoAAMIBT.jpg,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,I ve just watched episode S05 E05 of La casa de papel tvtime,Neutral
34,476,1448113660216451073,1448113660216451073,1634092175000.0,2021-10-13 04:29:35,+0200,,I've just watched episode S05 | E02 of La casa de papel!  https://t.co/ccLC1oRdCx #tvtime  https://t.co/LyFKu0gp00,en,['tvtime'],[],62665408,62665408,jhsap,José Paes,3,04,https://twitter.com/jhsap/status/1448113660216451073,['https://tvtime.com/r/1Zv6T'],['https://pbs.twimg.com/media/FBi7sz_WQAAVM05.jpg'],1,https://pbs.twimg.com/media/FBi7sz_WQAAVM05.jpg,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,I ve just watched episode S05 E02 of La casa de papel tvtime,Neutral
35,508,1448109530236211206,1448109530236211206,1634091191000.0,2021-10-13 04:13:11,+0200,,Fr bro? Idk I’m finna start that or la casa de papel I heard they both good 💀,en,[],[],1036153524,1036153524,gc_ponce,gc,3,04,https://twitter.com/gc_ponce/status/1448109530236211206,[],[],0,,False,1,2,1,https://twitter.com/alva23_/status/1448033770628657162,"['Casa', 'Papel']",,,,,,,[],,,,,Fr bro Idk I m finna start that or la casa de papel I heard they both good,Positive
36,553,1448102547844173825,1448102547844173825,1634089526000.0,2021-10-13 03:45:26,+0200,,THE TIE DYE HOODIES WHAT IN THE LA CASA DE PAPEL ANYONE COULD BE THE NEXT MURDER VICTIM NOW #OMITB,en,['omitb'],[],3254815228,3254815228,captaindaddykru,bellamy where the hell have you been loco,3,03,https://twitter.com/captaindaddykru/status/1448102547844173825,[],[],0,,False,2,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,THE TIE DYE HOODIES WHAT IN THE LA CASA DE PAPEL ANYONE COULD BE THE NEXT MURDER VICTIM NOW OMITB,Negative
37,562,1448101962722037760,1448101962722037760,1634089387000.0,2021-10-13 03:43:07,+0200,,T Shirt New Money Heist Women La Casa De Papel Tshirt Funny Tops Tee Fashion Female Clothes T-Shirts  https://t.co/vGBV2NZwl0,en,[],[],844589036656345088,844589036656345088,Trong983,product-best,3,03,https://twitter.com/Trong983/status/1448101962722037760,['https://www.instagram.com/p/CU82ZBstLhh/?utm_medium=twitter'],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,T Shirt New Money Heist Women La Casa De Papel Tshirt Funny Tops Tee Fashion Female Clothes T Shirts,Positive
38,589,1448098042415095813,1448098042415095813,1634088452000.0,2021-10-13 03:27:32,+0200,,Grey's Anatomy La casa de papel Friends Squid Game,en,[],[],1162867060935987201,1162867060935987201,antoprette,αɴтιтo🦋,3,03,https://twitter.com/antoprette/status/1448098042415095813,[],[],0,,False,0,1,0,https://twitter.com/marugonzalezb1/status/1447767137091682309,"['Casa', 'Papel']",,,,,,,[],,,,,Grey s Anatomy La casa de papel Friends Squid Game,Negative
39,621,1448093241157554181,1448093241157554181,1634087307000.0,2021-10-13 03:08:27,+0200,,i’ve just watched episode S05 | E05 of La casa de papel   https://t.co/TfyTD4a4sq #tvtime  https://t.co/20GAUHZXZT,en,['tvtime'],[],392735832,392735832,thalifrancadsgn,thalita,3,03,https://twitter.com/thalifrancadsgn/status/1448093241157554181,['https://tvtime.com/r/1ZuEK'],['https://pbs.twimg.com/media/FBipIQzWEAkvs9D.jpg'],1,https://pbs.twimg.com/media/FBipIQzWEAkvs9D.jpg,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,i ve just watched episode S05 E05 of La casa de papel tvtime,Neutral
40,691,1448084889048342535,1448084889048342535,1634085316000.0,2021-10-13 02:35:16,+0200,,One of the protagonists of The Squid Game joins the Korean version of La casa de papel  https://t.co/XRrrdipCTT,en,[],[],3152371458,3152371458,then24dotcom,Then24,3,02,https://twitter.com/then24dotcom/status/1448084889048342535,['https://then24.com/2021/10/12/one-of-the-protagonists-of-the-squid-game-joins-the-korean-version-of-la-casa-de-papel/'],[],0,,False,0,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,One of the protagonists of The Squid Game joins the Korean version of La casa de papel,Negative
41,706,1448082777723834369,1448078969920708609,1634084812000.0,2021-10-13 02:26:52,+0200,,"@papel_chungo Ned ""Money"" Stark de la casa Stark",en,[],[],855677234744569856,855677234744569856,SaiyajinCat,El Gato Saiyajin,3,02,https://twitter.com/SaiyajinCat/status/1448082777723834369,[],[],0,,False,4,1,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'papel_chungo', 'name': 'Chungo Papel', 'id': '2232562479'}]",,,,,chungo Ned Money Stark de la casa Stark,Negative
42,726,1448081114728390656,1448080531720220679,1634084416000.0,2021-10-13 02:20:16,+0200,,31.Rome 32.Supernatural  https://t.co/hvUte2fNM1 Guy  https://t.co/39XZ7NBPxc Who 35.Two and a Half Man  https://t.co/IQm1o42w9r Casa De Papel 37.The Tudors 38.Sense8 39.Chernobly 40.The Big Bang Theory 41.Katla 42.The Rain,en,[],[],2285381154,2285381154,Afglsn,AFG,3,02,https://twitter.com/Afglsn/status/1448081114728390656,"['http://33.Family', 'http://34.Doctor', 'http://36.La']",[],0,,False,1,0,0,,"['Casa', 'Papel']",,,,,,,[],,,,,31 Rome 32 Supernatural Guy Who 35 Two and a Half Man Casa De Papel 37 The Tudors 38 Sense8 39 Chernobly 40 The Big Bang Theory 41 Katla 42 The Rain,Neutral
43,745,1448078119362043907,1448070152084467722,1634083702000.0,2021-10-13 02:08:22,+0200,,"@FrancoMmedina Skins, breaking bad, la casa de papel. Vikingos, stranger things, the crown, peaky blinders solo por mencionar algunas",en,[],[],1202612512732205056,1202612512732205056,PressCheko,Cheko Press,3,02,https://twitter.com/PressCheko/status/1448078119362043907,[],[],0,,False,1,0,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'FrancoMmedina', 'name': 'Franco', 'id': '3044040317'}]",,,,,Skins breaking bad la casa de papel Vikingos stranger things the crown peaky blinders solo por mencionar algunas,Negative
44,776,1448075138189217806,1448072497258192898,1634082991000.0,2021-10-13 01:56:31,+0200,,"@IGN They need to fix the constant subtitle / English dub discrepancy in this any all of their other non-English series.  Also, Squid Game was good. La Casa de Papel was better.",en,[],[],1413556658345844739,1413556658345844739,FUNKAF1ED,"Mr. Scott, but Spooky. 🇺🇸🇨🇦 ",3,01,https://twitter.com/FUNKAF1ED/status/1448075138189217806,[],[],0,,False,5,2,0,,"['Casa', 'Papel']",,,,,,,"[{'screen_name': 'IGN', 'name': 'IGN', 'id': '18927441'}]",,,,,They need to fix the constant subtitle English dub discrepancy in this any all of their other non English series Also Squid Game was good La Casa de Papel was better,Positive
